Country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Myanmar,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.006,0.006,0.006,0.006,0.006
Nepal,Solar,0.028,0.291,0.637,1.04,1.445,1.85,1.752,1.568,2.008,3.774,4.292,8.474,9.251,10.823,11.542,13.381,13.552,54.303,52.496,50.735,66.885,93.183
Nepal,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.069,0.069,0.069,0.069,0.169,0.199,0.199,0.199
Pakistan,Solar,0,0,0,0,0,0,0,0.14,1.14,6.67,9.275,18.632,45.783,100.658,165.363,265.512,589.505,654.699,679.109,763.313,860.313,1083.313
Pakistan,Wind,0,0,0,0,0,0,0,0,6,6,6,6,56.155,106.055,205.555,308.355,590.655,789.155,1185.855,1235.855,1235.855,1335.155
Philippines,Solar,0,0,0,0,2,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,3.047,27.737,172.55,784.145,908.376,916.961,982.246,1057.881,1369.734
Philippines,Wind,0,0,0,0,0,33,33,33,33,33,33,33,33,33,336.9,426.9,426.9,426.9,426.9,442.9,442.9,442.9
Singapore,Solar,0,0,0,0,0,0,0,0,0.279,1.5,3,4.6,7.8,11.8,25.3,45.7,96.639,115.945,161.328,275.72,335.545,432.618
Singapore,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
Sri Lanka,Solar,0.325,0.925,1.604,2.282,2.882,3.56,4.239,4.918,5.597,6.275,6.956,9.58,9.663,13.023,19.64,31.154,62.539,130.822,184.968,285.438,370.91,434.21
Sri Lanka,Wind,3,3,3,3,3,3,3,3,3,3,33.85,43.85,76.65,81.45,121.45,131.45,131.45,131.45,128.45,128.45,179,252.5
Tajikistan,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Thailand,Solar,0,0,0,0,0,0,30.41,32.25,32.35,37,48.6,78.7,381.7,828.5,1303.5,1424.6,2451.1,2702.26,2967.44,2987.62,2987.62,3048.62
Thailand,Wind,0,0,0,0,0,0,0.34,0.94,1.08,5.1,5.6,7.3,111.7,222.7,224.5,233.9,507.04,627.82,1102.82,1506.82,1506.82,1506.82
Timor Leste,Solar,0,0,0,0,0.004,0.008,0.012,0.016,0.061,0.102,0.143,0.457,0.772,0.789,0.808,0.816,1.124,1.123,1.123,1.123,1.111,1.101
Timor Leste,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turkmenistan,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turkmenistan,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uzbekistan,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.13,1.13,2.33,3.2,3.5,3.5,3.5,103.5
Uzbekistan,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75
